NAFRev1,26.4C,Fabrication de produits divers en terre cuite
NAFRev1,26.5A,Fabrication de ciment
NAFRev1,26.5C,Fabrication de chaux
NAFRev1,26.5E,Fabrication de plâtre
NAFRev1,26.6A,Fabrication d'éléments en béton pour la construction
NAFRev1,26.6C,Fabrication d'éléments en plâtre pour la construction
NAFRev1,26.6E,Fabrication de béton prêt à l'emploi
NAFRev1,26.6G,Fabrication de mortiers et bétons secs
NAFRev1,26.6J,Fabrication d'ouvrages en fibre-ciment
NAFRev1,26.6L,Fabrication d'autres ouvrages en béton ou en plâtre
NAFRev1,26.7Z,"Taille, façonnage et finissage de pierres ornementales et de construction"
NAFRev1,26.8A,Fabrication de produits abrasifs
NAFRev1,26.8C,Fabrication de produits minéraux non métalliques n.c.a.
NAFRev1,27.1Y,Sidérurgie
NAFRev1,27.2A,Fabrication de tubes en fonte
NAFRev1,27.2C,Fabrication de tubes en acier
NAFRev1,27.3A,Etirage à froid
NAFRev1,27.3C,Laminage à froid de feuillards
NAFRev1,27.3E,Profilage à froid par formage ou pliage
NAFRev1,27.3G,Tréfilage à froid
NAFRev1,27.4A,Production de métaux précieux
NAFRev1,27.4C,Production d'aluminium
NAFRev1,27.4D,Première transformation de l'aluminium
NAFRev1,27.4F,"Production de plomb, de zinc ou d'étain"
NAFRev1,27.4G,"Première transformation du plomb, du zinc ou de l'étain"
NAFRev1,27.4J,Production de cuivre
NAFRev1,27.4K,Première transformation du cuivre
NAFRev1,27.4M,Métallurgie des autres métaux non ferreux
NAFRev1,27.5A,Fonderie de fonte
NAFRev1,27.5C,Fonderie d'acier
NAFRev1,27.5E,Fonderie de métaux légers
NAFRev1,27.5G,Fonderie d'autres métaux non ferreux
NAFRev1,28.1A,Fabrication de constructions métalliques
NAFRev1,28.1C,Fabrication de menuiseries et fermetures métalliques
NAFRev1,28.2C,"Fabrication de réservoirs, citernes et conteneurs métalliques"
NAFRev1,28.2D,Fabrication de radiateurs et de chaudières pour le chauffage central
NAFRev1,28.3A,Fabrication de générateurs de vapeur
NAFRev1,28.3B,Chaudronnerie nucléaire
NAFRev1,28.3C,Chaudronnerie-tuyauterie
NAFRev1,28.4A,"Forge, estampage, matriçage"
NAFRev1,28.4B,"Découpage, emboutissage"
NAFRev1,28.4C,Métallurgie des poudres
NAFRev1,28.5A,Traitement et revêtement des métaux
NAFRev1,28.5C,Décolletage
NAFRev1,28.5D,Mécanique générale
NAFRev1,28.6A,Fabrication de coutellerie
NAFRev1,28.6C,Fabrication d'outillage à main
NAFRev1,28.6D,Fabrication d'outillage mécanique
NAFRev1,28.6F,Fabrication de serrures et de ferrures
NAFRev1,28.7A,Fabrication de fûts et emballages métalliques similaires
NAFRev1,28.7C,Fabrication d'emballages métalliques légers
NAFRev1,28.7E,Fabrication d'articles en fils métalliques
NAFRev1,28.7G,Visserie et boulonnerie
NAFRev1,28.7H,Fabrication de ressorts
NAFRev1,28.7J,Fabrication de chaînes
NAFRev1,28.7L,Fabrication d'articles métalliques ménagers
NAFRev1,28.7N,Fabrication de petits articles métalliques
NAFRev1,28.7Q,Fabrication d'articles métalliques divers
NAFRev1,29.1A,Fabrication de moteurs et turbines
NAFRev1,29.1B,Fabrication de pompes
NAFRev1,29.1D,Fabrication de transmissions hydrauliques et pneumatiques
NAFRev1,29.1E,Fabrication de compresseurs
NAFRev1,29.1F,Fabrication d'articles de robinetterie
NAFRev1,29.1H,Fabrication de roulements
NAFRev1,29.1J,Fabrication d'organes mécaniques de transmission
NAFRev1,29.2A,Fabrication de fours et brûleurs
NAFRev1,29.2C,"Fabrication d'ascenseurs, monte-charges et escaliers mécaniques"
NAFRev1,29.2D,Fabrication d'équipements de levage et de manutention
NAFRev1,29.2F,Fabrication d'équipements aérauliques et frigorifiques industriels
NAFRev1,29.2H,Fabrication d'équipements d'emballage et de conditionnement
NAFRev1,29.2J,Fabrication d'appareils de pesage
NAFRev1,29.2L,Fabrication de matériel pour les industries chimiques
NAFRev1,29.2M,Fabrication d'autres machines d'usage général
NAFRev1,29.3A,Fabrication de tracteurs agricoles
NAFRev1,29.3C,Réparation de matériel agricole
NAFRev1,29.3D,Fabrication de matériel agricole
NAFRev1,29.4A,Fabrication de machines-outils à métaux
NAFRev1,29.4B,Fabrication de machines-outils à bois
NAFRev1,29.4C,Fabrication de machines-outils portatives à moteur incorporé
NAFRev1,29.4D,Fabrication de matériel de soudage
NAFRev1,29.4E,Fabrication d'autres machines-outils
NAFRev1,29.5A,Fabrication de machines pour la métallurgie
NAFRev1,29.5B,Fabrication de matériels de mines pour l'extraction
NAFRev1,29.5D,Fabrication de matériels de travaux publics
NAFRev1,29.5E,Fabrication de machines pour l'industrie agroalimentaire
NAFRev1,29.5G,Fabrication de machines pour les industries textiles
NAFRev1,29.5J,Fabrication de machines pour les industries du papier et du carton
NAFRev1,29.5L,Fabrication de machines d'imprimerie
NAFRev1,29.5M,Fabrication de machines pour le travail du caoutchouc ou des plastiques
NAFRev1,29.5N,Fabrication de moules et modèles
NAFRev1,29.5Q,Fabrication de machines d'assemblage automatique
NAFRev1,29.5R,Fabrication machines spécialisées diverses
NAFRev1,29.6A,Fabrication d'armement
NAFRev1,29.6B,"Fabrication d'armes de chasse, de tir et de défense"
NAFRev1,29.7A,Fabrication d'appareils électroménagers
NAFRev1,29.7C,Fabrication d'appareils ménagers non électriques
NAFRev1,30.0A,Fabrication de machines de bureau
NAFRev1,30.0C,Fabrication d'ordinateurs et d'autres équipements informatiques
NAFRev1,31.1A,"Fabrication de moteurs, génératrices et transformateurs électriques de petite et moyenne puissance"
NAFRev1,31.1B,"Fabrication de moteurs, génératrices et transformateurs électriques de grande puissance"
NAFRev1,31.1C,Réparation de matériels électriques
NAFRev1,31.2A,Fabrication de matériel de distribution et de commande électrique pour basse tension
NAFRev1,31.2B,Fabrication de matériel de distribution et de commande électrique pour haute tension
NAFRev1,31.3Z,Fabrication de fils et câbles isolés
NAFRev1,31.4Z,Fabrication d'accumulateurs et de piles électriques
NAFRev1,31.5A,Fabrication de lampes
NAFRev1,31.5B,Fabrication d'appareils électriques autonomes de sécurité
NAFRev1,31.5C,Fabrication d'appareils d'éclairage
NAFRev1,31.6A,Fabrication de matériels électriques pour moteurs et véhicules
NAFRev1,31.6C,Fabrication de matériel électromagnétique industriel
NAFRev1,31.6D,Fabrication de matériels électriques n.c.a.
NAFRev1,32.1A,Fabrication de composants passifs et de condensateurs
NAFRev1,32.1C,Fabrication de composants électroniques actifs
NAFRev1,32.1D,Assemblage de cartes électroniques pour compte de tiers
NAFRev1,32.2A,Fabrication d'équipements d'émission et de transmission hertzienne
NAFRev1,32.2B,Fabrication d'appareils de téléphonie
NAFRev1,32.3Z,"Fabrication d'appareils de réception, enregistrement ou reproduction du son et de l'image"
NAFRev1,33.1A,Fabrication de matériel d'imagerie médicale et de radiologie
NAFRev1,33.1B,Fabrication d'appareils médicochirurgicaux
NAFRev1,33.2A,Fabrication d'équipements d'aide à la navigation
NAFRev1,33.2B,Fabrication d'instrumentation scientifique et technique
NAFRev1,33.3Z,Fabrication d'équipements de contrôle des processus industriels
NAFRev1,33.4A,Fabrication de lunettes
NAFRev1,33.4B,Fabrication d'instruments d'optique et de matériel photographique
NAFRev1,33.5Z,Horlogerie
NAFRev1,34.1Z,Construction de véhicules automobiles
NAFRev1,34.2A,Fabrication de carrosseries automobiles
NAFRev1,34.2B,Fabrications de caravanes et véhicules de loisirs
NAFRev1,34.3Z,Fabrication d'équipements automobiles
NAFRev1,35.1A,Construction de bâtiments de guerre
NAFRev1,35.1B,Construction de navires civils
NAFRev1,35.1C,Réparation navale
NAFRev1,35.1E,Construction de bateaux de plaisance
NAFRev1,35.2Z,Construction de matériel ferroviaire roulant
NAFRev1,35.3A,Construction de moteurs pour aéronefs
NAFRev1,35.3B,Construction de cellules d'aéronefs
NAFRev1,35.3C,Construction de lanceurs et engins spatiaux
NAFRev1,35.4A,Fabrication de motocycles
NAFRev1,35.4C,Fabrication de bicyclettes
NAFRev1,35.4E,Fabrication de véhicules pour invalides
NAFRev1,35.5Z,Fabrication de matériels de transport n.c.a.
NAFRev1,36.1A,Fabrication de sièges
NAFRev1,36.1C,Fabrication de meubles de bureau et de magasin
NAFRev1,36.1E,Fabrication de meubles de cuisine
NAFRev1,36.1G,Fabrication de meubles meublants
NAFRev1,36.1H,Fabrication de meubles de jardin et d'extérieur
NAFRev1,36.1J,Fabrication de meubles n.c.a.
NAFRev1,36.1K,Industries connexes de l'ameublement
NAFRev1,36.1M,Fabrication de matelas
NAFRev1,36.2A,Fabrication de monnaies
NAFRev1,36.2C,"Bijouterie, joaillerie, orfèvrerie"
NAFRev1,36.3Z,Fabrication d'instruments de musique
NAFRev1,36.4Z,Fabrication d'articles de sport
NAFRev1,36.5Z,Fabrication de jeux et jouets
NAFRev1,36.6A,Bijouterie fantaisie
NAFRev1,36.6C,Industrie de la brosserie
NAFRev1,36.6E,Autres activités manufacturières n.c.a.
NAFRev1,37.1Z,Récupération de matières métalliques recyclables
NAFRev1,37.2Z,Récupération de matières non métalliques recyclables
NAFRev1,40.1A,Production d'électricité
NAFRev1,40.1C,Transport d'électricité
NAFRev1,40.1E,Distribution et commerce d'électricité
NAFRev1,40.2A,Production de combustible gazeux
NAFRev1,40.2C,Distribution de combustibles gazeux
NAFRev1,40.3Z,Production et distribution de chaleur
NAFRev1,41.0Z,"Captage, traitement et distribution d'eau"
NAFRev1,45.1A,"Terrassements divers, démolition"
NAFRev1,45.1B,Terrassements en grande masse
NAFRev1,45.1D,Forages et sondages
NAFRev1,45.2A,Construction de maisons individuelles
NAFRev1,45.2B,Construction de bâtiments divers
NAFRev1,45.2C,Construction d'ouvrages d'art
NAFRev1,45.2D,Travaux souterrains
NAFRev1,45.2E,Réalisation de réseaux
NAFRev1,45.2F,Construction de lignes électriques et de télécommunication
NAFRev1,45.2J,Réalisation de couvertures par éléments
NAFRev1,45.2K,Travaux d'étanchéification
NAFRev1,45.2L,Travaux de charpente
NAFRev1,45.2N,Construction de voies ferrées
NAFRev1,45.2P,Construction de chaussées routières et de sols sportifs
NAFRev1,45.2R,Travaux maritimes et fluviaux
NAFRev1,45.2T,"Levage, montage"
NAFRev1,45.2U,Autres travaux spécialisés de construction
NAFRev1,45.2V,Travaux de maçonnerie générale
NAFRev1,45.3A,Travaux d'installation électrique
NAFRev1,45.3C,Travaux d'isolation
NAFRev1,45.3E,Installation d'eau et de gaz
NAFRev1,45.3F,Installation d'équipements thermiques et de climatisation
NAFRev1,45.3H,Autres travaux d'installation
NAFRev1,45.4A,Plâtrerie
NAFRev1,45.4C,Menuiserie bois et matières plastiques
NAFRev1,45.4D,Menuiserie métallique ; serrurerie
NAFRev1,45.4F,Revêtement des sols et des murs
NAFRev1,45.4H,"Miroiterie de bâtiment, vitrerie"
NAFRev1,45.4J,Peinture
NAFRev1,45.4L,Agencement de lieux de vente
NAFRev1,45.4M,Travaux de finition n.c.a.
NAFRev1,45.5Z,Location avec opérateur de matériel de construction
NAFRev1,50.1Z,Commerce de véhicules automobiles
NAFRev1,50.2Z,Entretien et réparation de véhicules automobiles
NAFRev1,50.3A,Commerce de gros d'équipements automobiles
NAFRev1,50.3B,Commerce de détail d'équipements automobiles
NAFRev1,50.4Z,Commerce et réparation de motocycles
NAFRev1,50.5Z,Commerce de détail de carburants
NAFRev1,51.1A,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et demi-produits"
NAFRev1,51.1C,"Intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques"
NAFRev1,51.1E,Intermédiaires du commerce en bois et matériaux de construction
NAFRev1,51.1G,"Intermédiaires du commerce en machines, équipements industriels, navires et avions"
NAFRev1,51.1J,"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie"
NAFRev1,51.1L,"Intermédiaires du commerce en textiles, habillement, chaussures et articles en cuir"
NAFRev1,51.1N,Intermédiaires du commerce en produits alimentaires
NAFRev1,51.1P,Centrales d'achats alimentaires
NAFRev1,51.1R,Autres intermédiaires spécialisés du commerce
NAFRev1,51.1T,Intermédiaires non spécialisés du commerce
NAFRev1,51.1U,Centrales d'achats non alimentaires
NAFRev1,51.2A,Commerce de gros de céréales et aliments pour le bétail
NAFRev1,51.2C,Commerce de gros de fleurs et plantes
NAFRev1,51.2E,Commerce de gros d'animaux vivants
NAFRev1,51.2G,Commerce de gros de cuirs et peaux
NAFRev1,51.2J,Commerce de gros de tabac non manufacturé
NAFRev1,51.3A,Commerce de gros de fruits et légumes
NAFRev1,51.3C,Commerce de gros de viandes de boucherie
NAFRev1,51.3D,Commerce de gros de produits à base de viande
NAFRev1,51.3E,Commerce de gros de volailles et gibiers
NAFRev1,51.3G,"Commerce de gros de produits laitiers, oeufs, huiles"
NAFRev1,51.3J,Commerce de gros de boissons
NAFRev1,51.3L,Commerce de gros de tabac
NAFRev1,51.3N,"Commerce de gros de sucre, chocolat et confiserie"
NAFRev1,51.3Q,"Commerce de gros de café, thé, cacao et épices"
NAFRev1,51.3S,"Commerce de gros de poissons, crustacés et mollusques"
NAFRev1,51.3T,Commerces de gros alimentaires spécialisés divers
NAFRev1,51.3V,Commerce de gros de produits surgelés
NAFRev1,51.3W,Commerce de gros alimentaire non spécialisé
NAFRev1,51.4A,Commerce de gros de textiles
NAFRev1,51.4C,Commerce de gros d'habillement
NAFRev1,51.4D,Commerce de gros de la chaussure
NAFRev1,51.4F,Commerce de gros d'appareils électroménagers et de radios et télévisions
NAFRev1,51.4H,Commerce de gros de vaisselle et verrerie de ménage
NAFRev1,51.4J,Commerce de gros de produits pour l'entretien et l'aménagement de l'habitat
NAFRev1,51.4L,Commerce de gros de parfumerie et de produits de beauté
NAFRev1,51.4N,Commerce de gros de produits pharmaceutiques
NAFRev1,51.4Q,Commerce de gros de papeterie
NAFRev1,51.4R,Commerce de gros de jouets
NAFRev1,51.4S,Autres commerces de gros de biens de consommation
NAFRev1,51.5A,Commerce de gros de combustibles
NAFRev1,51.5C,Commerce de gros de minerais et métaux
NAFRev1,51.5E,Commerce de gros de bois et de produits dérivés
NAFRev1,51.5F,Commerce de gros de matériaux de construction et d'appareils sanitaires
NAFRev1,51.5H,Commerce de gros de quincaillerie
NAFRev1,51.5J,Commerce de gros de fournitures pour plomberie et chauffage
NAFRev1,51.5L,Commerce de gros de produits chimiques
NAFRev1,51.5N,Commerce de gros d'autres produits intermédiaires
NAFRev1,51.5Q,Commerce de gros de déchets et débris
NAFRev1,51.8A,Commerce de gros de machines-outils
NAFRev1,51.8C,"Commerce de gros de machines pour l'extraction, la construction et le génie civil"
NAFRev1,51.8E,Commerce de gros de machines pour l'industrie textile et l'habillement
NAFRev1,51.8G,"Commerce de gros d'ordinateurs, d'équipements informatiques périphériques et de progiciels"
NAFRev1,51.8H,Commerce de gros d'autres machines et équipements de bureau
NAFRev1,51.8J,Commerce de gros de composants et d'autres équipements électroniques
NAFRev1,51.8L,Commerce de gros de matériel électrique
NAFRev1,51.8M,Commerce de gros de fournitures et équipements industriels divers
NAFRev1,51.8N,Commerce de gros de fournitures et équipements divers pour le commerce et les services
NAFRev1,51.8P,Commerce de gros de matériel agricole
NAFRev1,51.9A,Autres commerces de gros spécialisés
NAFRev1,51.9B,Commerce de gros non spécialisé
NAFRev1,52.1A,Commerce de détail de produits surgelés
NAFRev1,52.1B,Commerce d'alimentation générale
NAFRev1,52.1C,Supérettes
NAFRev1,52.1D,Supermarchés
NAFRev1,52.1E,Magasins populaires
NAFRev1,52.1F,Hypermarchés
NAFRev1,52.1H,Grands magasins
NAFRev1,52.1J,Autres commerces de détail en magasin non spécialisé
NAFRev1,52.2A,Commerce de détail de fruits et légumes
NAFRev1,52.2C,Commerce de détail de viandes et produits à base de viande
NAFRev1,52.2E,"Commerce de détail de poissons, crustacés et mollusques"
NAFRev1,52.2G,"Commerce de détail de pain, pâtisserie et confiserie"
NAFRev1,52.2J,Commerce de détail de boissons
NAFRev1,52.2L,Commerce de détail de tabac
NAFRev1,52.2N,Commerce de détail de produits laitiers
NAFRev1,52.2P,Commerces de détail alimentaires spécialisés divers
NAFRev1,52.3A,Commerce de détail de produits pharmaceutiques
NAFRev1,52.3C,Commerce de détail d'articles médicaux et orthopédiques
NAFRev1,52.3E,Commerce de détail de parfumerie et de produits de beauté
NAFRev1,52.4A,Commerce de détail de textiles
NAFRev1,52.4C,Commerce de détail d'habillement
NAFRev1,52.4E,Commerce de détail de la chaussure
NAFRev1,52.4F,Commerce de détail de maroquinerie et d'articles de voyage
NAFRev1,52.4H,Commerce de détail de meubles
NAFRev1,52.4J,Commerce de détail d'équipement du foyer
NAFRev1,52.4L,"Commerce de détail d'appareils électroménagers, de radio et de télévision"
NAFRev1,52.4N,Commerce de détail de quincaillerie
NAFRev1,52.4P,Commerce de détail de bricolage
NAFRev1,52.4R,"Commerce de détail de livres, journaux et papeterie"
NAFRev1,52.4T,Commerce de détail d'optique et de photographie
NAFRev1,52.4U,Commerce de détail de revêtements de sols et de murs
NAFRev1,52.4V,Commerce de détail d'horlogerie et de bijouterie
NAFRev1,52.4W,Commerce de détail d'articles de sport et de loisir
NAFRev1,52.4X,Commerce de détail de fleurs
NAFRev1,52.4Y,Commerce de détail de charbons et combustibles
NAFRev1,52.4Z,Commerces de détail divers en magasin spécialisé
NAFRev1,52.5Z,Commerce de détail de biens d'occasion
