NAP,24.04,Fabrication de moteurs à combustion interne autres que pour l'automobile et l'aéronautique
NAP,24.05,Fabrication de transmissions hydrauliques et pneumatiques
NAP,24.06,Fabrication de pompes et compresseurs
NAP,24.07,Fabrication de turbines thermiques et hydrauliques et d'équipements de barrages
NAP,24.08,Chaudronnerie
NAP,24.09,"Fabrication de machines pour les industries alimentaires chimiques, plastiques et de machines à chaussures"
NAP,24.10,Fabrication de machines pour les industries textiles et de machines à coudre industrielles
NAP,24.11,"Fabrication de machines pour les industries du papier, du carton et des arts graphiques"
NAP,25.01,Fabrication de matériel de travaux publics
NAP,25.02,"Fabrication de matériel pour la sidérurgie pour la fonderie, pour la préparation des matériaux, matériel fixe de chemin de fer"
NAP,25.03,Fabrication de matériel de manutention et de levage
NAP,25.04,Fabrication de matériel de mines et de forage
NAP,34.01,Horlogerie
NAP,34.02,"Fabrication d'appareils de pesage et de compteurs, d'instruments de métrologie"
NAP,34.03,Fabrication de lunettes pour la correction et la protection de la vue
NAP,34.04,Fabrication d'instruments d'optique et de précision
NAP,34.05,Fabrication de matériel photographique et cinématographique
NAP,34.06,Fabrication de matériel médico-chirurgical et de prothèses
NAP,34.07,Fabrication de roulements
NAP,27.01,Fabrication de matériel de traitement de l'information
NAP,27.02,Fabrication de machines de bureau
NAP,28.10,"Fabrication d'équipements de distribution, de commande à basse tension ; d'applications de l'électronique de puissance"
NAP,28.11,Fabrication de matériel électrique de grande puissance ou à haute tension
NAP,28.12,"Fabrication d'appareillage industriel à basse tension, de relais ; de matériel de signalisation"
NAP,28.13,Fabrication de machines tournantes et transformateurs électriques de petite et moyenne puissance
NAP,28.14,Fabrication d'isolateurs et pièces isolantes en verre et céramique
NAP,28.15,Fabrication d'équipements d'automatisation de processus industriels
NAP,28.16,Réparation de gros matériel électrique
NAP,28.17,Fabrication de matériel d'éclairage
NAP,28.18,Fabrication de fils et câbles isolés pour l'électricité
NAP,28.19,"Fabrication et installation d'ascenseurs, monte-charge et escaliers mécaniques"
NAP,28.21,Fabrication d'appareillage électrique d'installation
NAP,28.22,Fabrication de piles électriques et appareils d'éclairage à bas voltage
NAP,28.23,Fabrication d'accumulateurs
NAP,28.24,Fabrication de lampes électriques
NAP,29.11,Fabrication de matériel télégraphique et téléphonique
NAP,29.12,Fabrication d'appareils de radiologie et d'électronique médicale
NAP,29.13,"Fabrication d'appareils de contrôle et de régulation spécifiquement conçus pour l'automatisme industriel, d'instruments et d'appareils électriques et électroniques de mesure"
NAP,29.14,Fabrication de matériel professionnel électronique et radioélectrique
NAP,29.15,Fabrication de composants passifs et de condensateurs fixes
NAP,29.16,Fabrication de tubes électroniques et de semi-conducteurs
NAP,29.21,Fabrication d'appareils radiorécepteur et de téléviseurs
NAP,29.22,Fabrication d'appareils d'enregistrement et de reproduction du son et de l'image et de supports d'enregistrement
NAP,30.01,"Fabrication d'appareils frigorifiques domestiques, de machines à laver le linge et à laver la vaisselle"
NAP,30.02,"Fabrication d'appareils ménagers de cuisine, de chauffage de l'eau et de chauffage de l'air non électriques"
NAP,30.03,Fabrication d'autres appareils d'équipement ménager
NAP,31.11,Construction de voitures particulières
NAP,31.12,Construction de caravanes et remorques de tourisme
NAP,31.13,Fabrication de pièces et équipements spécifiques pour automobiles
NAP,31.14,Construction de véhicules utilitaires
NAP,31.15,"Construction de carrosseries, bennes, remorques autres que de tourisme"
NAP,31.16,Fabrication de motocycles et cycles
NAP,31.17,Fabrication de pièces et équipements pour cycles et motocycles
NAP,31.21,Fabrication et réparation de matériel ferroviaire roulant et d'autres matériels de transport guide
NAP,26.01,Fabrication de véhicules blindés
NAP,26.02,Fabrication d'armes et munitions de guerre
NAP,32.01,Construction de bâtiments de guerre
NAP,32.02,Construction de navires de marine marchande
NAP,32.03,Construction d'autres bateaux
NAP,32.04,Fabrication et pose d'équipements spécifiques de bord
NAP,32.05,Réparation de navires
NAP,33.01,Construction de cellules d'aéronefs
NAP,33.02,Fabrication de propulseurs d'aéronefs et d'équipements de propulseurs
NAP,33.03,Fabrication d'équipements spécifiques pour les aéronefs
NAP,33.04,Construction d'engins et de lanceurs spatiaux
NAP,18.01,Fabrication d'allumettes
NAP,18.02,Fabrication d'abrasifs appliqués
NAP,18.03,"Fabrication d'explosifs, d'accessoires de mise à feu et d'artifices"
NAP,18.04,Fabrication de colles
NAP,18.05,Fabrication de produits savonniers et de produits détergents
NAP,18.06,Fabrication de produits de ménage et de produits d'entretien
NAP,18.07,"Fabrication de peintures, vernis, couleurs fines, encres d'imprimerie"
NAP,18.08,Fabrication de produits phytosanitaires
NAP,18.09,Fabrication de produits photographiques et cinématographiques
NAP,18.10,"Fabrication de charbons artificiels, de terres actives et de produits chimiques à usage métallurgique et mécanique"
NAP,18.11,Parfumerie
NAP,19.01,Fabrication de spécialités pharmaceutiques
NAP,19.02,Fabrication d'autres produits pharmaceutiques
NAP,44.10,"Préparation et commerce de la laine, délainage"
NAP,44.11,"Préparation de lin, chanvre, et d'autres plantes textiles"
NAP,44.12,Filterie
NAP,44.13,Filature de lin et de chanvre
NAP,44.14,Filature de l'industrie cotonnière
NAP,44.15,Filature de l'industrie lainière - cycle cardé
NAP,44.16,Filature de l'industrie lainière - cycle peigné
NAP,44.17,Moulinage et texturation de la soie et des textiles artificiels et synthétiques
NAP,44.18,"Teintures, apprêts et impressions"
NAP,44.20,Fabrication d'étoffes à mailles
NAP,44.21,"Fabrication de chandails, pull-over, polos, gilets etc... En bonneterie"
NAP,44.22,Fabrication d'autres vêtements de dessus de bonneterie
NAP,44.23,Fabrication de sous-vêtements de bonneterie
NAP,44.24,Fabrication d'articles chaussants de bonneterie
NAP,44.25,Fabrication d'autres articles de bonneterie
NAP,44.30,Tissage des industries cotonnières et linières
NAP,44.31,Tissage de l'industrie lainière
